Group Name
IT2025
CS2025
MAT2025

ID,First Name,Last Name,Group
101,Jonas,Jonaitis,IT2025
102,Mantas,Mantaitis,IT2025
103,Laura,Lauraitė,IT2025
104,Povilas,Povilaitis,IT2025

Date,ID,Attendance Status
2025-04-01,101,Present
2025-04-01,102,Present
2025-04-01,103,Absent
2025-04-02,101,Absent
2025-04-02,102,Present
2025-04-02,103,Present
2025-04-03,101,Present
2025-04-03,102,Absent
2025-04-03,103,Present
2025-04-04,101,Present
2025-04-04,102,Absent
2025-04-04,103,Present
2025-04-05,101,Present
2025-04-05,102,Absent
2025-04-05,103,Present
2025-04-06,101,Present
2025-04-06,102,Absent
2025-04-06,103,Present
2025-04-07,101,Present
2025-04-07,102,Absent
2025-04-07,103,Present
2025-04-08,101,Present
2025-04-08,102,Absent
2025-04-08,103,Present
2025-04-09,101,Present
2025-04-09,102,Absent
2025-04-09,103,Present
2025-04-10,101,Present
2025-04-10,102,Absent
2025-04-10,103,Present
